REG_CUSER,REG_SNO,AIR_TYPE,AIR_BUILD_DATE,AIR_AGE,REG_DATE,AIR_LIMIT_MAN,AIR_FLY_WEIGHT,REG_JANG,PROC_TYPE,PRJ_GBN
중앙항업,HL5115,C-208B,2008-05-26,11,2008-12-24,11,3.969ton,김포공항,구매,항공기사용사업
중앙항업,HL1114,T-206H,2008-06-18,11,2009-09-22,6,3800lbs,김포공항,구매,항공기사용사업
중원대학교,HL1231,C-172S,2005-06-15,14,2015-12-01,4,2550lbs,무안공항,구매,자가용
중원대학교,HL1232,C-172S,2005-06-16,14,2015-12-01,4,2550lbs,무안공항,구매,자가용
중원대학교,HL1233,C-172S,2007-05-24,12,2015-12-01,4,2550lbs,무안공항,구매,자가용
중원대학교,HL1273,C-172S,2017-06-05,2,2017-09-04,4,2550lbs,무안공항,구매,자가용
진에어,HL7555,B737-800,1999-12-09,19,2000-01-20,189,79ton,인천국제공항,임차,국제항공운송사업
진에어,HL7556,B737-800,2000-01-14,19,2000-02-22,189,79015kg,제주국제공항,임차,국제항공운송사업
진에어,HL7557,B737-800,2000-04-25,19,2000-05-26,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL7558,B737-800,2000-05-27,19,2000-06-14,189,79015kg,김포공항,임차,국제항공운송사업
진에어,HL7559,B737-800,2000-06-23,19,2000-07-20,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL7561,B737-800,2000-08-28,18,2000-09-22,189,79ton,인천국제공항,임차,국제항공운송사업
진에어,HL7562,B737-800,2000-09-15,18,2000-10-11,189,79ton,인천국제공항,임차,국제항공운송사업
진에어,HL7563,B737-800,2001-01-02,18,2001-01-29,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL7564,B737-800,2001-01-13,18,2001-02-08,189,79ton,인천국제공항,임차,국제항공운송사업
진에어,HL7565,B737-800,2001-04-26,18,2001-05-22,189,78.997ton,김포공항,임차,국제항공운송사업
진에어,HL7733,B777-200,2005-05-09,14,2005-06-29,393,292.56ton,인천국제공항,임차,국제항공운송사업
진에어,HL7734,B777-200,2005-07-06,13,2005-07-28,393,292.56ton,인천국제공항,임차,국제항공운송사업
진에어,HL7743,B777-200,2006-08-03,12,2006-08-29,393,292.56ton,인천국제공항,임차,국제항공운송사업
진에어,HL7750,B777-200,2007-05-09,12,2007-05-10,393,292.56ton,김포공항,임차,국제항공운송사업
진에어,HL7786,B737-800,2009-06-18,10,2009-07-15,147,79ton,김포공항,임차,국제항공운송사업
진에어,HL8224,B737-800,2011-06-25,7,2011-07-19,138,74.4ton,제주국제공항,임차,국제항공운송사업
진에어,HL8225,B737-800,2011-10-05,7,2011-11-07,138,74.4ton,인천국제공항,임차,국제항공운송사업
진에어,HL8242,B737-800,2011-12-19,7,2012-01-23,138,79ton,청주국제공항,임차,국제항공운송사업
진에어,HL8243,B737-800,2012-01-31,7,2012-02-17,138,79ton,청주국제공항,임차,국제항공운송사업
진에어,HL8244,B737-800,2012-02-13,7,2012-03-02,138,79ton,청주국제공항,임차,국제항공운송사업
진에어,HL8012,B737-800,2015-07-14,3,2015-07-27,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL8013,B737-800,2015-08-31,3,2015-09-11,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL8015,B737-800,2015-09-30,3,2015-10-13,189,79.0ton,김포공항,임차,국제항공운송사업
진에어,HL8014,B737-800,2015-10-12,3,2015-10-23,189,79.0ton,김포공항,임차,국제항공운송사업
진에어,HL8016,B737-800,2016-03-05,3,2016-03-18,189,79ton,김포공항,임차,국제항공운송사업
진에어,HL8017,B737-800,2016-06-19,3,2016-06-29,189,79.0ton,청주국제공항,임차,국제항공운송사업
창운항공,HL9156,H-369D,1981-06-03,38,2003-01-18,5,1.36ton,김포공항,구매,항공기사용사업
천우항공,HL1267,T-206H,1999-05-24,20,2018-07-03,6,1633kg,고흥만 경비행고흥만 ,구매,항공기사용사업
첨단공간정보,HL1004,TU-206G,1980-10-08,38,1998-10-27,3,1.633ton,김포공항,구매,항공기사용사업
초당학원,HL1188,DA 40 NG,2014-02-19,5,2014-06-18,4,2822lbs,무안공항,구매,자가용
초당학원,HL1189,DA 40 NG,2014-02-19,5,2014-06-18,4,2822lbs,무안공항,구매,자가용
초당학원,HL1190,DA 40 NG,2014-03-11,5,2014-06-18,4,2822lbs,무안공항,구매,자가용
초당학원,HL1226,DA 40 NG,2015-02-23,4,2015-06-17,4,2822lbs,무안공항,구매,자가용
초당학원,HL1227,DA 40 NG,2015-03-03,4,2015-06-17,4,2822lbs,무안공항,구매,자가용
초당학원,HL1228,DA 40 NG,2015-03-17,4,2015-06-17,4,2822lbs,무안공항,구매,자가용
초당학원,HL1229,DA 40 NG,2015-03-17,4,2015-06-17,4,2822lbs,무안공항,구매,자가용
초당학원,HL2041,DA 42 NG,2015-05-13,4,2015-07-13,4,1900kg,무안공항,구매,자가용
초당학원,HL1264,DA 40 NG,2017-03-23,2,2017-07-07,4,1310kg,무안공항,구매,자가용
초당학원,HL1265,DA 40 NG,2017-03-23,2,2017-07-07,4,1310kg,무안공항,구매,자가용
초당학원,HL1266,DA-40NG,2017-03-22,2,2017-07-07,4,1310kg,무안공항,구매,자가용
충청남도,HL9611,AW139,2015-06-05,4,2015-11-09,14,6400kg,한서대학교 태안비행장,구매,자가용
충청북도,HL9457,BK117C-2,2004-10-30,14,2007-11-23,10,3.585ton,청주시 17전투비행단,구매,자가용
케이바스,HL1115,A188B,1974-07-09,44,2010-03-25,1,1.814ton,김포공항,구매,항공기사용사업
케이바스,HL2036,CL-215-1A10,1987-04-23,32,2011-12-19,3,19731kg,사천공항,구매,항공기사용사업
코리아익스프레스에어,HL9293,BK117,1984-02-09,35,2006-08-11,8,2.850ton,김포공항,구매,소형항공기운송사업
코리아익스프레스에어,HL8054,EMB-145EP,1998-06-24,21,2015-12-10,50,20990kg,양양국제공항,임차,소형항공기운송사업
코리아익스프레스에어,HL8094,EMB-145EP,1999-10-22,19,2017-02-08,50,20990kg,강원도 양양,임차,소형항공기운송사업
코리아익스프레스에어,HL8358,EMB-145LR,2000-11-24,18,2019-01-04,50,22000kg,무안공항,임차,소형항공기운송사업
터보라인(주),HL1103,C-172M,1980-11-14,38,2006-05-23,4,2300lbs,양양공항,구매,항공기사용사업
트랜스헬리,HL9621,S-58HT,2062-02-01,57,2016-01-14,18,12500lbs,전북임실관촌,구매,항공기사용사업
트랜스헬리,HL9629,S-58JT,1977-02-01,42,2016-12-09,18,12500lbs,전북임실관촌,구매,항공기사용사업
트랜스헬리,HL9238,S-58JT,1980-02-07,39,1988-10-19,14,5.67ton,전북임실관촌,구매,항공기사용사업
티웨이항공,HL8235,B737-800,2010-08-31,8,2010-09-09,189,70.533ton,김포공항,임차,국제항공운송사업
티웨이항공,HL8237,B737-800,2003-03-13,16,2011-01-21,189,79.015ton,제주국제공항,임차,국제항공운송사업
티웨이항공,HL8253,B737-800,1998-05-10,21,2011-08-09,186,78.244ton,제주국제공항,임차,국제항공운송사업
티웨이항공,HL8268,B737-800,2003-06-09,16,2012-05-25,189,79.017ton,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8294,B737-800,2004-03-21,15,2013-09-30,189,79.015ton,제주국제공항,임차,국제항공운송사업
티웨이항공,HL8000,B737-800,2006-01-29,13,2014-03-04,189,79015kg,대구공항,임차,국제항공운송사업
티웨이항공,HL8021,B737-800,2006-12-06,12,2014-07-18,189,70.987ton,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8024,B737-800,2010-09-08,8,2014-12-16,189,79015kg,광주공항,임차,국제항공운송사업
티웨이항공,HL8030,B737-800,2015-03-04,4,2015-03-05,189,79015kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8047,B737-800,2007-10-22,11,2015-09-25,189,79015kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8056,B737-800,2008-04-17,11,2015-12-10,189,79015kg,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8067,B737-800,2008-06-27,10,2016-03-24,189,79015kg,대구공항,임구,국제항공운송사업
티웨이항공,HL8069,B737-800,2009-03-31,10,2016-04-29,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8070,B737-800,2009-06-30,9,2016-07-08,189,78999kg,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8086,B737-800,2011-01-28,8,2016-12-13,189,79015kg,대구공항,임차,국제항공운송사업
티웨이항공,HL8098,B737-800,2009-07-20,9,2017-06-12,189,79015kg,대구공항,임차,국제항공운송사업
티웨이항공,HL8220,B737-800,2009-05-27,10,2017-06-29,189,79015kg,대구공항,임차,국제항공운송사업
티웨이항공,HL8095,B737-800,2017-06-15,2,2017-07-05,189,79015kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8300,B737-800,2017-12-15,1,2017-12-15,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8306,B737-800,2011-02-09,8,2018-04-18,189,78999kg,대구공항,임차,국제항공운송사업
티웨이항공,HL8323,B737-800,2011-09-26,7,2018-10-15,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8326,B737-800,2011-09-26,7,2018-10-30,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8324,B737-800,2011-09-20,7,2018-11-07,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8327,B737-800,2010-11-05,8,2018-12-26,189,78999kg,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8329,B737-800,2010-11-12,8,2019-01-09,189,79015kg,인천국제공항,임차,국제항공운송사업
티웨이항공,HL8363,B737-800,2007-01-17,12,2019-03-29,189,78999kg,김포공항,임차,국제항공운송사업
티웨이항공,HL8354,B737-800,2011-06-03,8,2019-05-08,189,78999kg,무안공항,임차,국제항공운송사업
티티엠코리아항공,HL1074,C-172P,1986-06-06,33,2000-08-18,4,1.08ton,고창비행장,구매,항공기사용사업
티티엠코리아항공,HL1192,C-172P,1980-06-10,39,2013-12-10,4,2400lbs,김포공항,구매,항공기사용사업
펄코리아,HL9480,MI-2,1986-03-28,33,2008-12-29,9,3.55ton,김포공항,구매,항공기사용사업
포스코,HL9266,S-76C,2001-08-31,17,2001-09-21,12,5.307ton,포항제철 헬리포트,구매,자가용
포스코,HL9291,S-76C,2006-07-20,12,2006-07-20,12,5.307ton,김포공항,구매,자가용
플라잉타이거즈,HL1137,PA-25-235,1974-07-30,44,2010-07-27,1,1.315ton,전남 영암군,구매,항공기사용사업
하나항공,HL1105,T-207A,1981-10-08,37,2007-04-20,8,"3,800lbs",김포공항,구매,항공기사용사업
하나항공,HL9477,AS-355F1,1994-08-04,24,2008-10-17,7,2.6ton,김포공항,구매,항공기사용사업
하이에어,HL5243,ATR 72,2009-04-20,10,2019-05-23,50,23000kg,울산공항,구매,소형항공기운송사업
학교법인 일현학원,HL1280,C-172S,2000-10-11,18,2018-09-19,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 청석학원,HL1176,DA 40 NG,2013-10-22,5,2014-01-22,4,1280kg,청주국제공항,구매,자가용
학교법인 청석학원,HL1177,DA 40 NG,2013-10-28,5,2014-01-22,4,1280kg,청주국제공항,구매,자가용
학교법인 청석학원,HL1178,DA 40 NG,2013-10-23,5,2014-01-22,4,1280kg,청주국제공항,구매,자가용
학교법인 청석학원,HL1179,DA 40 NG,2013-11-06,5,2014-01-22,4,1280kg,청주국제공항,구매,자가용
학교법인 청석학원,HL1251,DA-40NG,2015-09-30,3,2016-02-29,4,1280kg,무안공항,구매,자가용
학교법인 청석학원,HL1252,DA-40NG,2015-10-01,3,2016-02-29,4,1280kg,무안공항,구매,자가용
학교법인 청석학원,HL1253,DA-40NG,2015-10-13,3,2016-02-29,4,1280kg,무안공항,구매,자가용
학교법인 청석학원,HL1254,DA-40NG,2015-10-21,3,2016-02-29,4,1280kg,무안공항,구매,자가용
학교법인 청석학원,HL2046,DA 42,2016-11-10,2,2017-05-11,4,1999kg,무안공항,구매,자가용
학교법인 함주학원,HL6142,ENSTROM 280FX,2005-09-14,13,2005-11-04,3,2600lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1095,C-172S,2005-12-22,13,2006-04-07,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1096,C-172S,2005-12-22,13,2006-04-07,4,1.157ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1097,C-172S,2005-12-21,13,2006-04-07,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1101,C-172S,2006-05-08,13,2006-07-18,4,1.157ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL9175,ENSTROM 480B,2006-12-12,12,2006-12-12,5,1.361ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL5231,BEECH 1900D,1998-04-22,21,2007-03-23,19,7.7ton,김포공항,구매,자가용
학교법인 함주학원,HL1083,C-172S,2008-07-11,10,2008-10-15,4,1.157ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1084,C-172S,2008-07-11,10,2008-10-15,4,1.157ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1085,C-172S,2008-07-14,10,2008-10-15,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1109,C-172S,2008-07-14,10,2008-10-15,4,1.157ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL8283,C525,2009-05-20,10,2009-07-30,8,10700lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL9488,BELL412SP,1989-08-28,29,2010-05-26,13,5.398ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1125,C-172S,2008-03-06,11,2010-06-09,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1128,C-172S,2007-05-16,12,2010-06-09,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1124,C-172S,2008-03-06,11,2010-06-30,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1126,C-172S,2007-05-24,12,2010-06-30,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL2031,PA44-180,2010-01-15,9,2010-07-07,4,3800lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL2032,PA44-180,2010-01-12,9,2010-07-07,4,3800lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL5238,BEECH 1900D,1996-06-25,23,2010-07-13,18,7.7ton,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1142,C-172S,2008-03-08,11,2011-03-22,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1143,C-172S,2008-03-08,11,2011-03-22,4,2550lbs,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1152,C-172S,2011-11-14,7,2012-02-15,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1159,EA 300/LT,2012-05-21,7,2012-10-04,2,950kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL0306,ASK 21,2012-12-19,6,2013-05-06,2,600kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1169,C-172S,2007-10-18,11,2013-10-25,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1170,C-172S,2007-12-13,11,2013-10-25,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1186,C-172S,2013-02-20,6,2014-01-21,4,1156kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1198,C-172S,2014-05-20,5,2014-07-23,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1268,C-172S,2018-05-10,1,2018-11-13,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1269,C-172S,2018-05-10,1,2018-11-13,4,1157kg,충남태안 비행장,구매,자가용
학교법인 함주학원,HL1270,C-172S,2018-05-10,1,2018-11-13,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1271,C-172S,2018-05-10,1,2018-11-13,4,1157kg,한서대학교 태안비행장,구매,자가용
학교법인 함주학원,HL1272,C-172S,2018-05-10,1,2018-11-13,4,1157kg,한서대학교 태안비행장,구매,자가용
한국공항공사,HL8219,C-525,2017-03-03,2,2017-03-21,5,4853kg,울진비행장,구매,항공기사용사업
한국교통대학교,HL1195,SR20,2014-02-11,5,2014-03-28,4,1361kg,청주국제공항,구매,자가용
한국교통대학교,HL1207,SR20,2014-06-30,4,2014-09-03,4,1361kg,무안공항,구매,자가용
한국교통대학교,HL1208,SR20,2014-06-30,4,2014-09-03,4,1361kg,무안공항,구매,자가용
한국교통대학교,HL1209,SR20,2014-06-30,4,2014-09-03,4,1361kg,무안공항,구매,자가용
한국교통대학교,HL1258,SR20,2015-09-30,3,2015-12-03,4,1361kg,무안공항,구매,자가용
한국방송공사,HL9278,BELL430,2005-08-01,13,2006-07-06,8,4218kg,김포공항,구매,자가용
한국소아링협회,HL0305,K-8B,2066-10-06,52,2002-06-27,2,0.31ton,수색비행장,구매,자가용
한국에스지티,HL5119,C-208B,2006-03-03,13,2009-12-15,11,4.127ton,김포공항,구매,항공기사용사업
한국항공,HL1138,C-172S,2001-11-14,17,2010-12-29,4,2550lbs,청주국제공항,구매,항공기사용사업
한국항공,HL1181,C-172S,2001-05-03,18,2013-10-11,4,2550lbs,청주국제공항,구매,항공기사용사업
한국항공,HL1182,C-172R,1997-11-06,21,2013-10-11,4,2457lbs,청주국제공항,구매,항공기사용사업
한국항공대학교,HL0304,L23,2000-08-29,18,2000-10-24,2,510kg,수색비행장,구매,자가용
한국항공대학교,HL1086,C-172R,2001-02-16,18,2001-04-23,4,1.111ton,수색비행장,구매,자가용
한국항공대학교,HL1087,C-172R,2001-02-16,18,2001-04-23,4,1.111ton,수색비행장,구매,자가용
한국항공대학교,HL1131,C-172S,2010-06-30,8,2010-07-27,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1132,C-172S,2010-06-30,8,2010-07-27,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1133,C-172S,2010-06-30,8,2010-07-27,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1134,C-172S,2010-07-12,8,2010-08-06,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1135,C-172S,2010-07-12,8,2010-08-06,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1136,C-172S,2010-07-12,8,2010-08-06,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL2035,DA 42 NG,2011-01-12,8,2011-03-16,4,1900kg,수색비행장,구매,자가용
한국항공대학교,HL1171,C-172S,2012-09-26,6,2012-11-15,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1172,C-172S,2012-09-26,6,2012-11-15,4,1156kg,수색비행장,구매,자가용
한국항공대학교,HL1173,C-172S,2013-06-25,5,2013-08-12,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1174,C-172S,2013-08-12,5,2013-08-12,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1175,C-172S,2013-06-25,5,2013-08-12,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1221,C-172S,2015-02-10,4,2015-04-08,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1222,C-172S,2015-02-19,4,2015-04-08,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1223,C-172S,2015-02-24,4,2015-04-08,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1224,C-172S,2015-02-23,4,2015-04-08,4,2550lbs,수색비행장,구매,자가용
한국항공대학교,HL1079,C-172R,1998-12-07,20,1999-03-12,4,1.111ton,수색비행장,구매,자가용
한국항공대학교,HL1081,C-172R,1998-12-07,20,1999-03-12,4,1.111ton,수색비행장,구매,자가용
한국항공대학교,HL1082,C-172R,1998-12-03,20,1999-03-12,4,1.111ton,수색비행장,구매,자가용
한국항공선교회,HL1039,TU-206G,1980-03-05,39,1992-05-19,6,1.62ton,김포공항,구매,자가용
한국항공우주산업,HL1200,KC-100,2013-12-04,5,2013-12-10,4,1633kg,사천공항,구매,자가용
한국항공우주산업,HL9648,EC-155B1,2008-10-12,10,2018-09-18,6,4920kg,한국항공우주산업,구매,소형항공기운송사업
한라스카이에어,HL2004,P68C TC,1984-09-30,34,2007-08-24,6,2.084ton,김포공항,구매,항공기사용사업
한서대학교산학협력단,HL9169,480B,2005-09-14,13,2005-11-07,4,3000lbs,한서대학교 태안비행장,구매,항공기사용사업
한서대학교산학협력단,HL5200,C90GT,2006-12-11,12,2006-12-22,8,4.581kg,한서대학교 태안비행장,구매,항공기사용사업
한양항공,HL1070,MXT-7,1991-10-08,27,1992-04-27,4,1.136ton,전북 남원요천비행장,구매,항공기사용사업
한화케미칼(주),HL7227,B737-700,2006-09-15,12,2010-09-30,19,77.564ton,김포공항,구매,자가용
한화케미칼(주),HL9254,S-76C,1997-03-07,22,1997-03-21,8,5.307ton,김포공항,구매,자가용
헬리월드,HL9479,MI-2,1989-11-24,29,2008-12-24,9,3.550ton,김포산업단지,구매,항공기사용사업
헬리코리아,HL9143,H-369D,1979-04-13,40,2000-06-14,5,1.519ton,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9154,BELL214B-1,1980-03-20,39,2002-10-31,16,16000lbs,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9159,BELL214B-1,1980-09-20,38,2003-02-05,16,16000lbs,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9160,BELL214B-1,1982-01-27,37,2003-04-09,16,5.727ton,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9270,S-76C,2002-10-31,16,2003-06-05,10,5.307ton,헬리코리아 헬기장,구매,소형항공기운송사업
헬리코리아,HL9285,S-76C,2004-06-01,15,2004-06-01,14,5.307ton,헬리코리아 헬기장,구매,소형항공기운송사업
헬리코리아,HL9171,BELL214B-1,1978-12-30,40,2005-12-01,16,16000lbs,대전,구매,항공기사용사업
헬리코리아,HL9289,KA-32A,1989-04-29,30,2006-01-03,15,11ton,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9475,KA-32A,2008-10-01,10,2008-10-01,16,11ton,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9489,S-76C,2001-08-01,17,2010-06-24,16,5.307ton,대전 헬리코리아 헬기장,구매,소형항공기운송사업
헬리코리아,HL9191,B407,2010-01-30,9,2010-11-19,7,2722kg,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9200,BK117C-1,2000-12-04,18,2012-06-07,8,3350kg,대전 헬리코리아 헬기장,구매,소형항공기운송사업
헬리코리아,HL9628,AW169,2016-10-25,2,2016-11-21,10,4600kg,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9627,AW169,2016-10-21,2,2016-11-28,10,4600kg,헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9631,AW169,2016-12-15,2,2016-12-26,10,4600kg,대전 헬리코리아 헬기장,임차,항공기사용사업
헬리코리아,HL9643,AW109SP,2017-10-26,1,2017-11-21,8,3175kg,대전 헬리코리아 헬기장,구매,항공기사용사업
헬리코리아,HL9644,AW109SP,2017-11-30,1,2017-12-08,8,3175kg,헬리코리아 헬기장,구매,항공기사용사업
현대자동차,HL9474,S-76C,2008-11-24,10,2009-08-18,10,5.307ton,김포공항,구매,자가용
현대자동차,HL8290,B737-700,2013-01-30,6,2014-07-16,17,77.564ton,김포공항,구매,자가용
홍익항공,HL9146,H-369D,1979-03-12,40,2001-02-15,5,1.363ton,김포공항,구매,항공기사용사업
홍익항공,HL9151,AS-350B1,1986-12-09,32,2002-03-18,6,2200kg,김포공항,구매,항공기사용사업
홍익항공,HL9158,BELL214B-1,1980-05-20,39,2003-02-05,18,5.67ton,김포공항,구매,항공기사용사업
홍익항공,HL9166,AS-350B2,1998-02-05,21,2004-12-28,6,2250kg,김포공항,구매,항공기사용사업
홍익항공,HL9174,AS-350B2,1992-11-27,26,2006-04-19,6,2250kg,김포공항,구매,항공기사용사업
홍익항공,HL9189,AS-350B2,1980-10-12,38,2008-10-13,6,2250kg,김포공항,구매,항공기사용사업
홍익항공,HL9199,AS-350B2,1990-04-26,29,2012-02-24,6,2250kg,김포공항,구매,항공기사용사업
홍익항공,HL9302,AS-350B2,1992-09-11,26,2013-02-18,6,2250kg,김포공항,구매,항공기사용사업
홍익항공,HL9616,EC135P2+,2008-04-30,11,2013-10-08,5,2910kg,김포공항,구매,항공기사용사업
홍익항공,HL9227,BK117,1984-11-12,34,1991-03-14,7,2850kg,김포공항,구매,항공기사용사업
홍익항공,HL9116,BELL214B-1,1981-04-21,38,1994-03-29,18,5.67ton,김포공항,구매,항공기사용사업
